filename,conn,fullSent
P1A-093_Motorbikes,and ,"He no I watched him do it He did it very very professionally He knows exactly what he 's at like you know He used to race bikes like He said he 'd be doing working on chains every, every week like And uh he said he 'd he 'd have it all sort of set up for me next week And if I go down at five o'clock on Tuesday an hour before the class begins then we can get really stuck into it and he 'll get it sorted then He says he can just cut off the chain that 's on it"
P1A-093_Motorbikes,instead ,"Or whatever, and just put it all on intact instead of, oh no put it on kind of hanging off Do you know what I mean"
P1A-093_Motorbikes,of ,"Or whatever, and just put it all on intact instead of, oh no put it on kind of hanging off Do you know what I mean"
P1A-093_Motorbikes,But ,But uh I tightened the chain then on Tuesday night just to give me some practice like and uh it 's terrible
P1A-093_Motorbikes,then ,But uh I tightened the chain then on Tuesday night just to give me some practice like and uh it 's terrible
P1A-093_Motorbikes,and ,But uh I tightened the chain then on Tuesday night just to give me some practice like and uh it 's terrible
P1A-093_Motorbikes,but ,"I did aye, but he was helping me measure it and everything and then, he went off and I finished the job like"
P1A-093_Motorbikes,and ,"I did aye, but he was helping me measure it and everything and then, he went off and I finished the job like"
P1A-093_Motorbikes,then ,"I did aye, but he was helping me measure it and everything and then, he went off and I finished the job like"
P1A-093_Motorbikes,and ,"I did aye, but he was helping me measure it and everything and then, he went off and I finished the job like"
P1A-093_Motorbikes,but ,"He 'll maybe well I hope he knows what he 's doing but you 'd maybe be better taking it to, somebody proper to and say right put this chain on for me"
P1A-093_Motorbikes,when ,"He said see you know when he puts on, this chain he 's going to get it exactly perfect you know for because, he 's saying it 's like one millimetre out, the tyre he said uh you know when he looked at it there"
P1A-093_Motorbikes,because ,"He said see you know when he puts on, this chain he 's going to get it exactly perfect you know for because, he 's saying it 's like one millimetre out, the tyre he said uh you know when he looked at it there"
P1A-093_Motorbikes,when ,"He said see you know when he puts on, this chain he 's going to get it exactly perfect you know for because, he 's saying it 's like one millimetre out, the tyre he said uh you know when he looked at it there"
P1A-093_Motorbikes,cos ,"The tyre aye the chain wears differently and all The chain wears badly and stuff 1 syll But uhm, just saying I probably won't see you now but in between now and going away cos I 'm just I 'm on every day I think"
P1A-093_Motorbikes,And ,And unless you come down here I won't see you
P1A-093_Motorbikes,unless ,And unless you come down here I won't see you
P1A-093_Motorbikes,Or ,Or he 's got it or what
P1A-093_Motorbikes,or ,Or he 's got it or what
P1A-093_Motorbikes,so ,"I ordered it, so I 'd better not forget about it"
P1A-093_Motorbikes,when ,"I don't know I just I when I was down there I just thought why not like And the, my mechanics instructor was saying you know you don't really need a new tyre yet And I was saying I but"
P1A-093_Motorbikes,And ,"I don't know I just I when I was down there I just thought why not like And the, my mechanics instructor was saying you know you don't really need a new tyre yet And I was saying I but"
P1A-093_Motorbikes,And ,"I don't know I just I when I was down there I just thought why not like And the, my mechanics instructor was saying you know you don't really need a new tyre yet And I was saying I but"
P1A-093_Motorbikes,and ,I plan a few trips like And he was like well okay if you And he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
P1A-093_Motorbikes,And ,And he was going God you don't take many corners do you
P1A-093_Motorbikes,And ,"And he was laughing, 4 sylls people look and see where it 's worn and see if it 's"
P1A-093_Motorbikes,cos ,Don't go arsing around cos
P1A-093_Motorbikes,but ,I usually go to play football with my mates from work on Monday night but I 'm not going to go just in case I get injured cos my insurance doesn't cover cancellations I I got the cheapest insurance I can get so
P1A-093_Motorbikes,cos ,I usually go to play football with my mates from work on Monday night but I 'm not going to go just in case I get injured cos my insurance doesn't cover cancellations I I got the cheapest insurance I can get so
P1A-093_Motorbikes,and ,Okay well make sure and get that bike done
P1A-093_Motorbikes,and ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,but ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,and ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,So ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,before ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,before ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,And ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,then ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,when ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,And ,"You can receive, and you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere"
P1A-093_Motorbikes,But ,But you might not be away even sure you might Or are you definitely going
P1A-093_Motorbikes,Or ,But you might not be away even sure you might Or are you definitely going
P1A-093_Motorbikes,so ,You 've decided so you 're going
P1A-093_Motorbikes,and ,"Well Marilyn uhm has is saying that she 's never been on the back of a bike before and she 's quite a nervous driver and she doesn't want to get on if she 's going to make me, any more nervous"
P1A-093_Motorbikes,and ,"Well Marilyn uhm has is saying that she 's never been on the back of a bike before and she 's quite a nervous driver and she doesn't want to get on if she 's going to make me, any more nervous"
P1A-093_Motorbikes,if ,"Well Marilyn uhm has is saying that she 's never been on the back of a bike before and she 's quite a nervous driver and she doesn't want to get on if she 's going to make me, any more nervous"
P1A-093_Motorbikes,but ,Well she won't make you nervous but she 'll if she 's doesn't know how to lean round corners and all You need to take her somewhere for a wee trip
P1A-093_Motorbikes,if ,Well she won't make you nervous but she 'll if she 's doesn't know how to lean round corners and all You need to take her somewhere for a wee trip
P1A-093_Motorbikes,but ,Well she might I know but I want to get the chain on first Make sure the bike 's in proper working order before I do like
P1A-093_Motorbikes,before ,Well she might I know but I want to get the chain on first Make sure the bike 's in proper working order before I do like
P1A-094_Health,so ,Yeah so like I like uh never got a bit a bit of peace on Monday when I was up home or at the weekend sorry decided to give you a ring then But it 's uh
P1A-094_Health,when ,Yeah so like I like uh never got a bit a bit of peace on Monday when I was up home or at the weekend sorry decided to give you a ring then But it 's uh
P1A-094_Health,then ,Yeah so like I like uh never got a bit a bit of peace on Monday when I was up home or at the weekend sorry decided to give you a ring then But it 's uh
P1A-094_Health,And ,He 's okay He 's okay He 's getting out tomorrow And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
P1A-094_Health,and ,He 's okay He 's okay He 's getting out tomorrow And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
P1A-094_Health,and ,He 's okay He 's okay He 's getting out tomorrow And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
P1A-094_Health,so ,He 's okay He 's okay He 's getting out tomorrow And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
P1A-094_Health,And ,He 's okay He 's okay He 's getting out tomorrow And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
P1A-094_Health,But ,But uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,because ,But uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,and ,But uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,and ,But uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,but ,But uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,Cos ,But uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,or ,"Mhm Wha Mhm Uh-huh Uh-huh Mmm Mm Oh God Uh-huh Mhm Mm yeah And have they, have they got rid of the clot or what"
P1A-094_Health,so ,Yeah they 're scattering it with uh injections Uh so uh it 's uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know And I think Mum was glad Lisa and I were up for the company And Lisa distracts her uhm
P1A-094_Health,And ,Yeah they 're scattering it with uh injections Uh so uh it 's uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know And I think Mum was glad Lisa and I were up for the company And Lisa distracts her uhm
P1A-094_Health,when ,Yeah they 're scattering it with uh injections Uh so uh it 's uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know And I think Mum was glad Lisa and I were up for the company And Lisa distracts her uhm
P1A-094_Health,And ,Yeah they 're scattering it with uh injections Uh so uh it 's uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know And I think Mum was glad Lisa and I were up for the company And Lisa distracts her uhm
P1A-094_Health,And ,Yeah they 're scattering it with uh injections Uh so uh it 's uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know And I think Mum was glad Lisa and I were up for the company And Lisa distracts her uhm
P1A-094_Health,So ,"He 's still in Dundonald yeah He should be getting out tomorrow So touch wood uhm, that 'll that 'll all go according to plan like you know But uh"
P1A-094_Health,until ,"He 's just had a crap year you know His health 's not the best until he goes on dialysis which 3 sylls these recurring effects 3 sylls cos his system 's just fucked you know On the minimum And if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff and you know, going for walks And he may be overdoing it a bit you know as well so uh"
P1A-094_Health,cos ,"He 's just had a crap year you know His health 's not the best until he goes on dialysis which 3 sylls these recurring effects 3 sylls cos his system 's just fucked you know On the minimum And if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff and you know, going for walks And he may be overdoing it a bit you know as well so uh"
P1A-094_Health,if ,"He 's just had a crap year you know His health 's not the best until he goes on dialysis which 3 sylls these recurring effects 3 sylls cos his system 's just fucked you know On the minimum And if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff and you know, going for walks And he may be overdoing it a bit you know as well so uh"
P1A-094_Health,But ,"He 's just had a crap year you know His health 's not the best until he goes on dialysis which 3 sylls these recurring effects 3 sylls cos his system 's just fucked you know On the minimum And if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff and you know, going for walks And he may be overdoing it a bit you know as well so uh"
P1A-094_Health,cos ,"He 's just had a crap year you know His health 's not the best until he goes on dialysis which 3 sylls these recurring effects 3 sylls cos his system 's just fucked you know On the minimum And if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff and you know, going for walks And he may be overdoing it a bit you know as well so uh"
P1A-094_Health,And ,"He 's just had a crap year you know His health 's not the best until he goes on dialysis which 3 sylls these recurring effects 3 sylls cos his system 's just fucked you know On the minimum And if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff and you know, going for walks And he may be overdoing it a bit you know as well so uh"
P1A-094_Health,if ,Yeah Mhm Yeah well I think well maybe if you were indoors all day and then you just came out that 's probably why And then the evening I think is worse And they say that 's cos the pollen is settling
P1A-094_Health,and ,Yeah Mhm Yeah well I think well maybe if you were indoors all day and then you just came out that 's probably why And then the evening I think is worse And they say that 's cos the pollen is settling
P1A-094_Health,then ,Yeah Mhm Yeah well I think well maybe if you were indoors all day and then you just came out that 's probably why And then the evening I think is worse And they say that 's cos the pollen is settling
P1A-094_Health,And ,Yeah Mhm Yeah well I think well maybe if you were indoors all day and then you just came out that 's probably why And then the evening I think is worse And they say that 's cos the pollen is settling
P1A-094_Health,cos ,Yeah Mhm Yeah well I think well maybe if you were indoors all day and then you just came out that 's probably why And then the evening I think is worse And they say that 's cos the pollen is settling
P1A-094_Health,then ,Yeah Yeah Oh definitely cos Gary got a blaster here so uh So like come here then Lisa has been taken away by the baby 2 sylls and was screeching the place down like
P1A-094_Health,and ,"I think Oh cool I know I phoned a wee while ago and she was howling, so she was"
P1A-094_Health,but ,"Oh no, 4 sylls lying on the sofa It was like a weight You know it 's not a 3 sylls to carry Mike 's been playing with her Uh the she was progressing well there but I think she was like going berserk like No it was her first day at creche today so"
P1A-094_Health,And ,Yeah so it 's so weird like Uhm so I had to kind of uh leave her in for a few hours And I leave her in tomorrow for a couple of hours just to get her used to it
P1A-094_Health,cos ,"And uhm, bring cos uh unfortunately just she 's been up in Belfast this week She was supposed to have a whole week this week before she goes in next week but uh it didn't happen So uh I wanted rather than just leave her in on Tuesday for the full day like bye-bye which 'd be worse for me and her obviously Yeah so I think that 's put her out of sorts not going well you know But uh heard she was okay great She was upset for the first couple of hours but I hear she 's there she 's off again"
P1A-094_Health,before ,"And uhm, bring cos uh unfortunately just she 's been up in Belfast this week She was supposed to have a whole week this week before she goes in next week but uh it didn't happen So uh I wanted rather than just leave her in on Tuesday for the full day like bye-bye which 'd be worse for me and her obviously Yeah so I think that 's put her out of sorts not going well you know But uh heard she was okay great She was upset for the first couple of hours but I hear she 's there she 's off again"
P1A-094_Health,but ,"And uhm, bring cos uh unfortunately just she 's been up in Belfast this week She was supposed to have a whole week this week before she goes in next week but uh it didn't happen So uh I wanted rather than just leave her in on Tuesday for the full day like bye-bye which 'd be worse for me and her obviously Yeah so I think that 's put her out of sorts not going well you know But uh heard she was okay great She was upset for the first couple of hours but I hear she 's there she 's off again"
P1A-094_Health,But ,"And uhm, bring cos uh unfortunately just she 's been up in Belfast this week She was supposed to have a whole week this week before she goes in next week but uh it didn't happen So uh I wanted rather than just leave her in on Tuesday for the full day like bye-bye which 'd be worse for me and her obviously Yeah so I think that 's put her out of sorts not going well you know But uh heard she was okay great She was upset for the first couple of hours but I hear she 's there she 's off again"
P1A-094_Health,but ,She was upset for the first couple of hours but uh settled in afterwards So then when I came she was there she was uh asleep on her baby beanbag
P1A-094_Health,So ,She was upset for the first couple of hours but uh settled in afterwards So then when I came she was there she was uh asleep on her baby beanbag
P1A-094_Health,then ,She was upset for the first couple of hours but uh settled in afterwards So then when I came she was there she was uh asleep on her baby beanbag
P1A-094_Health,when ,She was upset for the first couple of hours but uh settled in afterwards So then when I came she was there she was uh asleep on her baby beanbag
P1A-094_Health,but ,She 's not wee She 's just very fine but youse were like that as well I mean weren't you
P1A-094_Health,cos ,Yeah Yeah yeah Yeah no we were sort of all I don't think Juliette was uhm cos Mum keeps going calling her big beefy yeah
P1A-094_Health,cos ,"Never, never diplomatic mum on that front Uh like Dad was talking about Juliette 's bum veering towards the camera which was so, like Jesus give it a rest like you know I hope you don't say that in front of Juliette you know She was cute She was a cute 2 sylls like But uhm she 's uh yeah no I just keep getting paranoid cos of the baby next to her is four months and she 's just like massive compared to her"
P1A-094_Health,and ,"Never, never diplomatic mum on that front Uh like Dad was talking about Juliette 's bum veering towards the camera which was so, like Jesus give it a rest like you know I hope you don't say that in front of Juliette you know She was cute She was a cute 2 sylls like But uhm she 's uh yeah no I just keep getting paranoid cos of the baby next to her is four months and she 's just like massive compared to her"
P1A-094_Health,so ,Oh so it 's next week you 're going back
P1A-094_Health,so ,"Next week I go back I 've already had a meeting uhm an update meeting so the place hasn't burnt down or anything And there 's just a lot of budget cuts uhm which is to be expected uh And then nobody 's resigned so that 's also a good sign But uhm, really sorry actually thinking on the bright side"
P1A-094_Health,And ,"Next week I go back I 've already had a meeting uhm an update meeting so the place hasn't burnt down or anything And there 's just a lot of budget cuts uhm which is to be expected uh And then nobody 's resigned so that 's also a good sign But uhm, really sorry actually thinking on the bright side"
P1A-094_Health,And ,"Next week I go back I 've already had a meeting uhm an update meeting so the place hasn't burnt down or anything And there 's just a lot of budget cuts uhm which is to be expected uh And then nobody 's resigned so that 's also a good sign But uhm, really sorry actually thinking on the bright side"
P1A-094_Health,then ,"Next week I go back I 've already had a meeting uhm an update meeting so the place hasn't burnt down or anything And there 's just a lot of budget cuts uhm which is to be expected uh And then nobody 's resigned so that 's also a good sign But uhm, really sorry actually thinking on the bright side"
P1A-094_Health,so ,"Next week I go back I 've already had a meeting uhm an update meeting so the place hasn't burnt down or anything And there 's just a lot of budget cuts uhm which is to be expected uh And then nobody 's resigned so that 's also a good sign But uhm, really sorry actually thinking on the bright side"
P1A-094_Health,cos ,"But uh cos that 's uh that 's the the one two worst things Uhm but no it 's, it 's going to be a bit strange being back like you know It 's"
P1A-094_Health,So ,Tuesday So we 're down for Lee 's wedding this weekend
P1A-094_Health,so ,And uhm so the babysitter 's going to mind Lisa then when you 're down there
P1A-094_Health,when ,And uhm so the babysitter 's going to mind Lisa then when you 're down there
P1A-094_Health,So ,Just for the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday And so I stupidly went oh yeah good thinking that we 'll be leaving early I 'll have my night out on the Friday So we 're setting off for Achill at two We 'll get in at ten Great
P1A-094_Health,And ,Just for the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday And so I stupidly went oh yeah good thinking that we 'll be leaving early I 'll have my night out on the Friday So we 're setting off for Achill at two We 'll get in at ten Great
P1A-094_Health,so ,"And Mike Exactly yeah and uh so that give a chance uh Mike a chance to ring Lee and tell him how tired he is, weighed down Not joking you They do this all the time like"
P1A-094_Health,So ,So yeah I was well pleased
P1A-094_Health,so ,"So that 's that, no that 's this year over like and so I 've, nothing again now The end of September it starts again"
P1A-094_Health,and ,So good like you know But I could I was just looking at you that day and I remember uh
P1A-094_Health,and ,"Oh aye that it was the day before my birthday and you was there and I was really miserable But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
P1A-094_Health,and ,"Oh aye that it was the day before my birthday and you was there and I was really miserable But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
P1A-094_Health,But ,"Oh aye that it was the day before my birthday and you was there and I was really miserable But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
P1A-094_Health,But ,"Oh aye that it was the day before my birthday and you was there and I was really miserable But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
P1A-094_Health,cos ,"Oh aye that it was the day before my birthday and you was there and I was really miserable But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
P1A-094_Health,when ,"Oh aye that it was the day before my birthday and you was there and I was really miserable But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
P1A-095_Strep_infection,later ,"Uhm, came home emptied my bag Don gave me his keys He stayed over Uhm 3 sylls up at his Went up to the shop and got a couple of pizzas He 's coming out later on and watch Teachers"
P1A-095_Strep_infection,on ,"Uhm, came home emptied my bag Don gave me his keys He stayed over Uhm 3 sylls up at his Went up to the shop and got a couple of pizzas He 's coming out later on and watch Teachers"
