Offset-raw,filename,arg1,arg2
and,P1A-093_Motorbikes,"him do it He did it very very professionally He knows exactly what he 's at like you know He used to race bikes like He said he 'd be doing working on chains every , every week like uh he said he 'd he 'd have it all sort of set up for me next week",And if I go down at five o'clock on Tuesday an hour before the class begins then we can get really stuck into it and he 'll get it sorted then He says he can just cut off the chain that 's on it
and,P1A-093_Motorbikes,But uh I tightened the chain then on Tuesday night just to give me some practice like,uh it 's terrible
and,P1A-093_Motorbikes,"I did aye , but he was helping me measure it and everything and then , he went off",I finished the job like
and,P1A-093_Motorbikes,"I did aye , but he was helping me measure it and everything and then , he went off",I finished the job like
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,"when why not like And the , my mechanics instructor was saying you know you do n't really need a new tyre yet",I was saying I but
and,P1A-093_Motorbikes,"when why not like And the , my mechanics instructor was saying you know you do n't really need a new tyre yet",I was saying I but
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,Well Marilyn uhm has is saying that she 's never been on the back of a bike before and she 's quite a nervous driver,"she does n't want to get on if she 's going to make me , any more nervous"
and,P1A-093_Motorbikes,Well Marilyn uhm has is saying that she 's never been on the back of a bike before and she 's quite a nervous driver,"she does n't want to get on if she 's going to make me , any more nervous"
then,P1A-093_Motorbikes,Go away with us in the summer,and you 'll be alright
so,P1A-093_Motorbikes,And I 'm going away on Friday morning,I 'll have to start getting ready for that
so,P1A-093_Motorbikes,I ordered it,I 'd better not forget about it
so,P1A-093_Motorbikes,You 've decided,you 're going
when,P1A-093_Motorbikes,So I 'm working tomorrow and so I 'll be doing,I 'm off
when,P1A-093_Motorbikes,you know for because,he puts on
when,P1A-093_Motorbikes,you know for because,he puts on
when,P1A-093_Motorbikes,you know,he looked at it
when,P1A-093_Motorbikes,"can and And then uhm , aye ask And",you 're in the wherever you are ask somewhere how you do it like
if,P1A-093_Motorbikes,Well Marilyn uhm has is saying that she 's never been on the back of a bike before and she 's quite a nervous driver and does to get on,she 's going to make me
instead,P1A-093_Motorbikes,Or,"whatever , and just put it all on intact of , oh no put it on kind of hanging off"
unless,P1A-093_Motorbikes,And I wo n't see you,you come down here
or,P1A-093_Motorbikes,Yep,he 's got it or what
or,P1A-093_Motorbikes,Yep,he 's got it or what
or,P1A-093_Motorbikes,But you might not be away even sure you might,are you definitely going
before,P1A-093_Motorbikes,expensive So top up before you go Put about twenty quid in it,you go somebody 'll tell you how you what you put in front of the number to ring somewhere
before,P1A-093_Motorbikes,expensive So top up before you go Put about twenty quid in it,you go somebody 'll tell you how you what you put in front of the number to ring somewhere
before,P1A-093_Motorbikes,get the bike 's in proper working order,I do like
so,P1A-094_Health,But,and he was grey and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
so,P1A-094_Health,the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday,And
so,P1A-094_Health,the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday,And
so,P1A-094_Health,But,and he was grey and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
so,P1A-094_Health,I think Oh cool I know I phoned a wee while ago and she was howling,she was
so,P1A-094_Health,But,and he was grey and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
so,P1A-094_Health,But,and he was grey and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
so,P1A-094_Health,the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday,And
so,P1A-094_Health,the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday,And
so,P1A-094_Health,the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday,And
so,P1A-094_Health,no that,and I 've
when,P1A-094_Health,he was in good form And And,I left you know
when,P1A-094_Health,So then,I came she was there she was uh asleep on her baby beanbag
when,P1A-094_Health,And going to mind Lisa then,you 're down there
when,P1A-094_Health,"Oh aye that it was the day before my birthday and you was there and But I was really pleased to see you But , oh , it is cos",you 're under stress all you can think of
and,P1A-094_Health,He 's okay He 's okay He 's getting out tomorrow,they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he has n't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
and,P1A-094_Health,He 's okay He 's okay He 's getting out tomorrow,they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he has n't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
and,P1A-094_Health,He 's okay He 's okay He 's getting out tomorrow,they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he has n't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
and,P1A-094_Health,He 's okay He 's okay He 's getting out tomorrow,they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm and I think the kind of bout is double pneumonia and he had it 's really weakened him And well he has n't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure
and,P1A-094_Health,when somebody looks really really frail,you might say he looked grey like and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
and,P1A-094_Health,when somebody looks really really frail,you might say he looked grey like and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
and,P1A-094_Health,uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know I think Mum was glad Lisa and I were up for the company,And Lisa distracts her uhm
and,P1A-094_Health,uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know I think Mum was glad Lisa and I were up for the company,And Lisa distracts her uhm
and,P1A-094_Health,uh they say almost back to normal now And uhm yeah he 's he 's but he 's he was in good form when I left you know I think Mum was glad Lisa and I were up for the company,And Lisa distracts her uhm
and,P1A-094_Health,"He 's just had a crap year you know His health 's not the best until he goes on dialysis which 3 sylls these recurring effects 3 sylls cos his system 's just fucked you know On the minimum And if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a , bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff and you know , going for walks",he may be overdoing it a bit you know as well so uh
and,P1A-094_Health,Yeah Mhm Yeah well I think well maybe if you were indoors all day,then you just came out that 's probably why And then the evening I think is worse And they say that 's cos the pollen is settling
and,P1A-094_Health,Yeah Mhm Yeah well I think well maybe if you were indoors all day,then you just came out that 's probably why And then the evening I think is worse And they say that 's cos the pollen is settling
and,P1A-094_Health,I think Oh cool I know I phoned a wee while ago so,she was howling
and,P1A-094_Health,so I had to kind of uh leave her in for a few hours,I leave her in tomorrow for a couple of hours
and,P1A-094_Health,which like like that like But uhm she 's uh yeah no I just keep getting paranoid cos of the baby next to her is four months,she 's just like massive compared to her
and,P1A-094_Health,Just for the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday,so I stupidly went oh yeah good thinking that we 'll be leaving early
and,P1A-094_Health,But I could I was just looking at you that day,I remember uh
and,P1A-094_Health,that it was the day before my birthday,"you was there and But I was really pleased to see you But I was like , oh , 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
and,P1A-094_Health,that it was the day before my birthday,"you was there and But I was really pleased to see you But I was like , oh , 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like"
but,P1A-094_Health,because he was shaking as well The oul side-effects of the medication,it 's you and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
but,P1A-094_Health,because he was shaking as well The oul side-effects of the medication,it 's you and he could n't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he did n't want to read books He did n't do anything which is very unlike him And uhm yeah then that 's
but,P1A-094_Health,lying on the sofa It was like a weight You know it 's not a 3 sylls to carry Mike 's been playing with her Uh the she was progressing well there,I think she was like going berserk like No it
but,P1A-094_Health,He 's still in Dundonald yeah He should be getting out tomorrow like,So
but,P1A-094_Health,He 's still in Dundonald yeah He should be getting out tomorrow like,So
but,P1A-094_Health,He 's still in Dundonald yeah He should be getting out tomorrow like,So
but,P1A-094_Health,to rather than so,but
because,P1A-094_Health,But and,he was shaking as well The oul side-effects of the medication But it 's you
if,P1A-094_Health,until which And,he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's
but,P1A-095_Strep_infection,what,she is to me on the phone
but,P1A-095_Strep_infection,like,s saying she 's apparently
but,P1A-095_Strep_infection,like,s saying she 's apparently
but,P1A-095_Strep_infection,She 's already married to an American guy,this is their white wedding
but,P1A-095_Strep_infection,"s that the , once the negatives are exposed that 's it",you can get them to paper develop them They can tone them up or tone them down
but,P1A-095_Strep_infection,You know they can do that,it probably cost extra for uhm
so,P1A-095_Strep_infection,it was double bill,we had it on nine to ten and And well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being
so,P1A-095_Strep_infection,it was double bill,we had it on nine to ten and And well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being
so,P1A-095_Strep_infection,Got you,it 's not really that major
so,P1A-095_Strep_infection,Well Anthony 's still in process He wanted to stay in his house,it 's on hold
then,P1A-095_Strep_infection,So it was double bill last week so we had it on nine to ten,and the Teachers and then a video couple of bottles of wine and an oul chat 2 sylls So I did n't come back here now until it was after six before I got sitting down and having a spliff And well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being
then,P1A-095_Strep_infection,So it was double bill last week so we had it on nine to ten,and the Teachers and then a video couple of bottles of wine and an oul chat 2 sylls So I did n't come back here now until it was after six before I got sitting down and having a spliff And well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being
then,P1A-095_Strep_infection,Jennifer told Mummy and Emma,and they 'd found out independently that the husband 'd another woman
then,P1A-095_Strep_infection,like profile job,and in her staff talking about oh
then,P1A-095_Strep_infection,You could be,doing with them keys
before,P1A-095_Strep_infection,until it was after six,I got sitting down and having a spliff
and,P1A-095_Strep_infection,on So it was double bill last week so we had it on nine to ten and then the Teachers and then a video couple of bottles of wine and an oul chat 2 sylls So I did n't come back here now until it was after six before I got sitting down and having a spliff,well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being
and,P1A-095_Strep_infection,Jennifer told Mummy and Emma,then they 'd found out independently that the husband 'd another woman
and,P1A-095_Strep_infection,"I think that 's the one then that was , that took it really bad probably",this has just knocked him for six like
and,P1A-095_Strep_infection,"Exactly , 2 sylls coming uh a long day at Slane",you you know run down and stressed and that 's when you get things like that
and,P1A-095_Strep_infection,Yeah it 's so she 's just you know like profile job and then people in her staff talking about oh he 's ran away with another woman and,told them all like you know
and,P1A-095_Strep_infection,"uh I forgot to phone her to see like if she was coming back But uhm I just uh chanced me arm and uhm , asked him could I go , to be off tomorrow And he was like , uh no Uhm and he sat for a minute and he goes there 's several reasons",you 'll find out tomorrow
and,P1A-095_Strep_infection,"uh I forgot to phone her to see like if she was coming back But uhm I just uh chanced me arm and uhm , asked him could I go , to be off tomorrow And he was like , uh no Uhm and he sat for a minute and he goes there 's several reasons",you 'll find out tomorrow
and,P1A-095_Strep_infection,"uh I forgot to phone her to see like if she was coming back But uhm I just uh chanced me arm and uhm , asked him could I go , to be off tomorrow And he was like , uh no Uhm and he sat for a minute and he goes there 's several reasons",you 'll find out tomorrow
and,P1A-095_Strep_infection,"uh I forgot to phone her to see like if she was coming back But uhm I just uh chanced me arm and uhm , asked him could I go , to be off tomorrow And he was like , uh no Uhm and he sat for a minute and he goes there 's several reasons",you 'll find out tomorrow
and,P1A-095_Strep_infection,"uh I forgot to phone her to see like if she was coming back But uhm I just uh chanced me arm and uhm , asked him could I go , to be off tomorrow And he was like , uh no Uhm and he sat for a minute and he goes there 's several reasons",you 'll find out tomorrow
and,P1A-095_Strep_infection,Bastard,she 's staying with me Her and Andrew
and,P1A-095_Strep_infection,then we went out for lunch and stuffed ourselves I 'm still stuffed,"I 'm flat out at work I 've had a long day Roasting Could n't be fucking assed And then , thinking uh , they 've had a a surveyor there on the phone there Uh his flatmate 's home so they have to come in and survey it tomorrow It 's uh the chartered surveyor out And uhm , and it must be linked to putting their mortgage through so"
and,P1A-095_Strep_infection,then we went out for lunch and stuffed ourselves I 'm still stuffed,"I 'm flat out at work I 've had a long day Roasting Could n't be fucking assed And then , thinking uh , they 've had a a surveyor there on the phone there Uh his flatmate 's home so they have to come in and survey it tomorrow It 's uh the chartered surveyor out And uhm , and it must be linked to putting their mortgage through so"
and,P1A-095_Strep_infection,then we went out for lunch and stuffed ourselves I 'm still stuffed,"I 'm flat out at work I 've had a long day Roasting Could n't be fucking assed And then , thinking uh , they 've had a a surveyor there on the phone there Uh his flatmate 's home so they have to come in and survey it tomorrow It 's uh the chartered surveyor out And uhm , and it must be linked to putting their mortgage through so"
and,P1A-095_Strep_infection,we 've to be out of here on Sunday night,we 'll clean tomorrow night redding up really
and,P1A-095_Strep_infection,Well they 're not that bad because I think I cleaned them this time last year And took the whole fucking kitchen apart,oh it was spotless
if,P1A-095_Strep_infection,But it would n't matter,she did In Lurgan everybody knows everybody
if,P1A-095_Strep_infection,ve better,he had 've just buggered off back to Belfast
if,P1A-095_Strep_infection,even,it 's not gossiping people
if,P1A-095_Strep_infection,ca Why 's ca they could adopt If he really wanted children of his own they 5 sylls,he loved her
if,P1A-095_Strep_infection,ca Why 's ca they could adopt If he really wanted children of his own they 5 sylls,he loved her
if,P1A-095_Strep_infection,Fucking hell,he really wanted children
when,P1A-095_Strep_infection,Conor and Estelle especially Estelle 2 sylls they told me,I was over the last time
when,P1A-095_Strep_infection,for to clean it,I moved in We had to
while,P1A-095_Strep_infection,exactly Must get some pills actually,"I , think of them Did you get that computer sorted"
and,P1A-096_Sisters_1,No We were out for a walk that 's all,I 'm stuffing myself here with chocolates
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,He was yeah yeah four or five,he stayed nights and there was no problem 5 sylls do n't know That 's true yeah yeah
and,P1A-096_Sisters_1,He was yeah yeah four or five,he stayed nights and there was no problem 5 sylls do n't know That 's true yeah yeah
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,,we 're all listening to this always you know
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
and,P1A-096_Sisters_1,and,was to ring her today so she was here he rang today
but,P1A-096_Sisters_1,I did I rang her last night,she had already made an arrangement the girl next door who who was to be babysitting for someone else I think cancelled it And
but,P1A-096_Sisters_1,and,And 's not as bad as drink
but,P1A-096_Sisters_1,He probably would,I 'm not in the humour for any aggravation you know
but,P1A-096_Sisters_1,she went out with the Limerick fella yeah,"he , she said he 's kind of if she goes to the toilet he follows her to the toilet He 's real"
but,P1A-096_Sisters_1,"But she had meanwhile this plan to go out with this other fella that she 's friends with , who lives around here that it 's not a romance",she hangs around with him
but,P1A-096_Sisters_1,"But she had meanwhile this plan to go out with this other fella that she 's friends with , who lives around here that it 's not a romance",she hangs around with him
but,P1A-096_Sisters_1,"But having cancelled the first fella she could n't contact the second fella and I was smirking to myself thinking , ha fall between two stools dearie yeah",eventually she tracked him down anyway so she 's off to County Louth for the night Hmm yeah
but,P1A-096_Sisters_1,"But having cancelled the first fella she could n't contact the second fella and I was smirking to myself thinking , ha fall between two stools dearie yeah",eventually she tracked him down anyway so she 's off to County Louth for the night Hmm yeah
but,P1A-096_Sisters_1,At least he admitted it yeah,then
but,P1A-096_Sisters_1,At least he admitted it yeah,then
but,P1A-096_Sisters_1,He 'd probably be fine,she 's just
but,P1A-096_Sisters_1,But,says no he is n't anyway the others said he 's kind of and sort of keeps smiling cos he has n't much to say cos he has n't much English
but,P1A-096_Sisters_1,But,says no he is n't anyway the others said he 's kind of and sort of keeps smiling cos he has n't much to say cos he has n't much English
but,P1A-096_Sisters_1,But,says no he is n't anyway the others said he 's kind of and sort of keeps smiling cos he has n't much to say cos he has n't much English
but,P1A-096_Sisters_1,and,And 's not as bad as drink
but,P1A-096_Sisters_1,But,says no he is n't anyway the others said he 's kind of and sort of keeps smiling cos he has n't much to say cos he has n't much English
but,P1A-096_Sisters_1,But,says no he is n't anyway the others said he 's kind of and sort of keeps smiling cos he has n't much to say cos he has n't much English
but,P1A-096_Sisters_1,But,says no he is n't anyway the others said he 's kind of and sort of keeps smiling cos he has n't much to say cos he has n't much English
but,P1A-096_Sisters_1,But,says no he is n't anyway the others said he 's kind of and sort of keeps smiling cos he has n't much to say cos he has n't much English
so,P1A-096_Sisters_1,he would want,she said no
so,P1A-096_Sisters_1,Yeah,anyway I said it to Jennie and I said do you think that Mike knows he took it and bought it And she said oh he probably does And I said do you think he 'd mind And she said no But
so,P1A-096_Sisters_1,So that night Danny was going up to stay in John 's,"and and he said yes And I said where did you get it Oh a fella bought it A fella bought it And I said , was the fella you Yes"
so,P1A-096_Sisters_1,So that night Danny was going up to stay in John 's,"and and he said yes And I said where did you get it Oh a fella bought it A fella bought it And I said , was the fella you Yes"
so,P1A-096_Sisters_1,"I , and Ben said",I rang him He did not know and was most annoyed
if,P1A-096_Sisters_1,she went out with the Limerick fella yeah but of,she goes to the toilet he follows her to the toilet
if,P1A-096_Sisters_1,said,he keeps this up he will you know she 's just kind of
if,P1A-096_Sisters_1,said,he keeps this up he will you know she 's just kind of
then,P1A-096_Sisters_1,kind of rang back to apologise,"she , kind of cutely enough , but sort of talked her into another engagement on Tuesday"
when,P1A-096_Sisters_1,,she Limerick fella rang and she called it off and he kind of said well I have no friends here All my friends are in Limerick I 've no-one to go out with So she said oh
when,P1A-096_Sisters_1,,she Limerick fella rang and she called it off and he kind of said well I have no friends here All my friends are in Limerick I 've no-one to go out with So she said oh
as,P1A-096_Sisters_1,So that night Danny was going up to stay in John 's and I said I heard about that incident with the with the dope I said do n't you take anything off him And his face got really red So I thought oh God So yesterday when he he came back he said what were you saying to me about John So I said I heard about that thing And his face was really red And I said did you take any and he said yes And,he was getting out of the car
and,P1A-097_Sisters_2,"d he had brought , the , one of the fellas back to stay in Mike 's house",Mike was saying oh
and,P1A-097_Sisters_2,Yeah it 's a different kind of scene to the the drink you know,I do n't think he
and,P1A-097_Sisters_2,m to get my ear pierced And I said you are in your bum going into town to get your ear pierced Where are you going he said oh this place in Nemo 's Arcade,And I said you have to go somewhere hygienic or you 'll get AIDS or something
and,P1A-097_Sisters_2,m to get my ear pierced And I said you are in your bum going into town to get your ear pierced Where are you going he said oh this place in Nemo 's Arcade,And I said you have to go somewhere hygienic or you 'll get AIDS or something
and,P1A-097_Sisters_2,m to get my ear pierced And I said you are in your bum going into town to get your ear pierced Where are you going he said oh this place in Nemo 's Arcade,And I said you have to go somewhere hygienic or you 'll get AIDS or something
and,P1A-097_Sisters_2,And Ben said something and he,"he turned round and said I was n't speaking to you , in this tone And I said get up that stairs to your room I really wanted to thump him really viciously I was n't speaking to you"
and,P1A-097_Sisters_2,And Ben said something and he,"he turned round and said I was n't speaking to you , in this tone And I said get up that stairs to your room I really wanted to thump him really viciously I was n't speaking to you"
and,P1A-097_Sisters_2,And Ben said something and he,"he turned round and said I was n't speaking to you , in this tone And I said get up that stairs to your room I really wanted to thump him really viciously I was n't speaking to you"
and,P1A-097_Sisters_2,that and,s going to say no then you 'll think what the hell do you do then
and,P1A-097_Sisters_2,that and,s going to say no then you 'll think what the hell do you do then
and,P1A-097_Sisters_2,so I came out to the bottom of the stairs and,he said he was sorry
and,P1A-097_Sisters_2,so I came out to the bottom of the stairs and,he said he was sorry
and,P1A-097_Sisters_2,so I came out to the bottom of the stairs and,he said he was sorry
and,P1A-097_Sisters_2,be,that So in the end anyway he went into this place and he got it done So I thought thought I hope it 's as sore as bedamned
and,P1A-097_Sisters_2,into town Now he had thirty-five pounds,he had coughed up five on the dope And I thought I 'd like my frigging job sweetie giving you your twenty-five p And I said no you can use your own money And then he marched into
and,P1A-097_Sisters_2,into town Now he had thirty-five pounds,he had coughed up five on the dope And I thought I 'd like my frigging job sweetie giving you your twenty-five p And I said no you can use your own money And then he marched into
and,P1A-097_Sisters_2,into town Now he had thirty-five pounds,he had coughed up five on the dope And I thought I 'd like my frigging job sweetie giving you your twenty-five p And I said no you can use your own money And then he marched into
and,P1A-097_Sisters_2,"But uhm , he just , got up this morning and he 's permanently wants to have baths Now when you turn on the water for a bath the radiators have to go off",everyone is fucking freezing
and,P1A-097_Sisters_2,"But uhm , he just , got up this morning and he 's permanently wants to have baths Now when you turn on the water for a bath the radiators have to go off",everyone is fucking freezing
and,P1A-097_Sisters_2,be,that So in the end anyway he went into this place and he got it done So I thought thought I hope it 's as sore as bedamned
and,P1A-097_Sisters_2,be,that So in the end anyway he went into this place and he got it done So I thought thought I hope it 's as sore as bedamned
and,P1A-097_Sisters_2,be,that So in the end anyway he went into this place and he got it done So I thought thought I hope it 's as sore as bedamned
and,P1A-097_Sisters_2,be,that So in the end anyway he went into this place and he got it done So I thought thought I hope it 's as sore as bedamned
and,P1A-097_Sisters_2,be,that So in the end anyway he went into this place and he got it done So I thought thought I hope it 's as sore as bedamned
