filename,Offset-raw,arg1,arg2
P1A-093_Motorbikes,so,delivered uh tomorrow,we 're going to start putting it together So that 's what I 'll be doing when I 'm off
P1A-093_Motorbikes,so,And I 'm going away on Friday morning,I 'll have to start getting ready for that
P1A-093_Motorbikes,so,I ordered it,I 'd better not forget about it
P1A-093_Motorbikes,so,You 've decided,you 're going
P1A-093_Motorbikes,when,I 'll be doing,I 'm off
P1A-093_Motorbikes,when,I don't know I just I,"I was down there I just thought why not like And the, my mechanics instructor was saying you know you don't really need a new tyre yet And I was saying I but"
P1A-093_Motorbikes,when,ask,you 're in the wherever
P1A-093_Motorbikes,if,come back from a week 's holiday and take another week I can't do it And even,"I did I couldn't leave Mum and Dad 'll be half in the middle of, moving and half decorating and all So"
P1A-093_Motorbikes,if,she 'll,she 's doesn't know how to lean round corners
P1A-093_Motorbikes,because,for the tyre he said uh you know when he looked at it there,he 's saying it 's like one millimetre out
P1A-093_Motorbikes,unless,And I won't see you,you come down here
P1A-093_Motorbikes,or,Yep,he 's got it or what
P1A-093_Motorbikes,or,Yep,he 's got it or what
P1A-093_Motorbikes,or,But you might not be away even sure you might,are you definitely going
P1A-093_Motorbikes,before,you go Put about twenty quid in it,"you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like"
P1A-093_Motorbikes,before,you go Put about twenty quid in it,"you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like"
P1A-093_Motorbikes,before,the bike 's in proper working order,I do like
P1A-094_Health,so,Yeah,yeah I was well pleased
P1A-094_Health,so,Gary got a blaster here,uh
P1A-094_Health,so,Yeah,yeah I was well pleased
P1A-094_Health,so,Gary got a blaster here,uh
P1A-094_Health,so,Gary got a blaster here,uh
P1A-094_Health,so,Gary got a blaster here,uh
P1A-094_Health,so,Gary got a blaster here,uh
P1A-094_Health,so,Gary got a blaster here,uh
P1A-094_Health,so,Gary got a blaster here,uh
P1A-094_Health,so,Yeah,yeah I was well pleased
P1A-094_Health,so,"that 's that, no that 's this year over like and",I 've
P1A-094_Health,when,Yeah so like I like uh never got a bit a bit of peace on Monday,I was up home or at the weekend sorry decided to give you a ring then
P1A-094_Health,when,he was in good form,I left you know
P1A-094_Health,when,then she was uh asleep on her baby beanbag,I came she was there
P1A-094_Health,when,to mind Lisa then,you 're down there
P1A-094_Health,when,exactly how it is cos,you 're under stress all you can think of
P1A-094_Health,then,come,here Lisa has been taken away by the baby 2 sylls and was
P1A-094_Health,and,And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure,He 's okay He 's okay He 's getting out tomorrow
P1A-094_Health,and,And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure,He 's okay He 's okay He 's getting out tomorrow
P1A-094_Health,and,And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure,He 's okay He 's okay He 's getting out tomorrow
P1A-094_Health,and,And they 're going to give him he has a clot in his leg which is uh below the knee He had a couple of clots before I think it 's basically his medication Uhm I think the kind of bout is double pneumonia and he had it 's really weakened him And well he hasn't even been in since the stroke uh which a couple of years back So uhm he 's in Dundonald He 's been up in Dundonald since last uh Friday So uh I came up or last Thursday so I came up last Friday and stayed to til yesterday And I think Juliette might be coming over this weekend I 'm not sure,He 's okay He 's okay He 's getting out tomorrow
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,Yeah,Thinking that yeah Uh-huh so he 's still inside then
P1A-094_Health,and,Yeah,Thinking that yeah Uh-huh so he 's still inside then
P1A-094_Health,and,I phoned a wee while ago,she was howling
P1A-094_Health,and,Yeah so it 's so weird like Uhm so I had to kind of uh leave her in for a few hours And I leave her in tomorrow for a couple of hours just to get her used to it,"uhm, bring cos uh unfortunately just she 's been up in Belfast this week She was supposed to have a whole week this week before she goes in next week but uh it didn't happen So uh I wanted rather than just leave her in on Tuesday for the full day like bye-bye which 'd be worse for me and her obviously Yeah so I think that 's put her out of sorts not going well you know But uh heard she was okay great She was upset for the first couple of hours but I hear she 's there she 's off again"
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,Just for the Saturday Just for the Saturday yeah So Mike and I 'll take it in turns for the Friday and the Sunday And so I stupidly went oh yeah good thinking that we 'll be leaving early I 'll have my night out on the Friday So we 're setting off for Achill at two We 'll get in at ten Great,Just for the yeah mhm Aw Uh-huh Oh shit you 've been driving all the way too
P1A-094_Health,and,"if he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos uh he was out last week doing the gardening and stuff going for walks",you know
P1A-094_Health,and,"the day before my birthday and you was there But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like",I was really miserable
P1A-094_Health,and,"the day before my birthday and you was there But I was really pleased to see you But I was like, oh, 3 sylls I know exactly how it is cos when you 're under stress all you can think of is getting stuff done like",I was really miserable
P1A-094_Health,but,Uh-huh Oh Uh-huh Mm mhm Mhm right Right Uh-huh Uh-huh Is she,uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,but,Uh-huh Oh Uh-huh Mm mhm Mhm right Right Uh-huh Uh-huh Is she,uh yeah he 's okay He was uh he was a bit upset on uh uhm first day the Friday because he was shaking as well The oul side-effects of the medication But it 's you know it 's you know when somebody looks really really frail and you might say he looked grey like and so he was grey and he couldn't keep his hands steady you know tapping like oh God You know but uh but no he he he picked up You know he looked really really well He was in good spirits like Cos at the start he didn't want to read books He didn't do anything which is very unlike him And uhm yeah then that 's
P1A-094_Health,but,on the sofa It was like a weight You know it 's not a 3 sylls to carry Mike 's been playing with her Uh the she was progressing well there,I think she was like going berserk like No it
P1A-094_Health,but,cos uh unfortunately just she 's been up in Belfast this week She was supposed to have a whole week this week before she goes in next week but uh it didn't happen So uh I wanted rather than just leave her in on Tuesday for the full day like bye-bye which 'd be worse for me and her obviously Yeah so I think that 's put her out of sorts not going well you know But uh heard she was okay great She was upset for the first couple of hours,I hear she 's there she 's off again
P1A-094_Health,but,cos uh unfortunately just she 's been up in Belfast this week She was supposed to have a whole week this week before she goes in next week but uh it didn't happen So uh I wanted rather than just leave her in on Tuesday for the full day like bye-bye which 'd be worse for me and her obviously Yeah so I think that 's put her out of sorts not going well you know But uh heard she was okay great She was upset for the first couple of hours,I hear she 's there she 's off again
P1A-094_Health,but,She 's not wee She 's just very fine,youse were like that as well I mean weren't you
P1A-094_Health,because,he was a bit upset on uh uhm first day the Friday,he was shaking as well The oul side-effects of the medication
P1A-094_Health,until,His health 's not the best,he goes on dialysis which 3 sylls these recurring effects 3 sylls cos
P1A-094_Health,if,"uh he was out last week doing the gardening and stuff and you know, going for walks","he 's got he definitely needs dialysis quite soon you know you are going to pick up infection with toxins and in the blood It 's going to be inevitable you know unfortunately But uhm he 's got a, bearing up well Like I mean he was fine cos"
P1A-094_Health,before,to have a whole week this week,she goes in next week
P1A-095_Strep_infection,but,So it was double bill last week so we had it on nine to ten,"the series is over, on Living"
P1A-095_Strep_infection,but,Oh my God,"at the end of the day Sorcha it makes sense Now what man, twenty odd years married, you know would why would he need to be on his own Exactly"
P1A-095_Strep_infection,but,Sure Jamie wouldn't know who that is then,it wouldn't matter if she did In Lurgan everybody knows everybody
P1A-095_Strep_infection,but,"like Sure she 's a, not gossiping",she is to me on the phone
P1A-095_Strep_infection,but,She 's already married to an American guy,this is their white wedding
P1A-095_Strep_infection,but,Uh yeah,I don't remember any of them being taken
P1A-095_Strep_infection,but,I have to plug them,they really do
P1A-095_Strep_infection,but,You know they can do that,it probably cost extra for uhm
P1A-095_Strep_infection,so,it was double bill last week,we had it on nine to ten
P1A-095_Strep_infection,so,it was double bill last week,we had it on nine to ten
P1A-095_Strep_infection,so,Sure,I don't know I 've no idea I 'll tell you tomorrow I 've no idea
P1A-095_Strep_infection,so,No you see we 've our meetings on a Thursday,"I think he must be having a, an announcement or something"
P1A-095_Strep_infection,so,Shit,I don't know It kind of scared me a bit
P1A-095_Strep_infection,so,Got you,it 's not really that major
P1A-095_Strep_infection,so,to stay in his house last night,it 's on hold
P1A-095_Strep_infection,so,there Uh his flatmate 's home and survey it tomorrow,they have to come in
P1A-095_Strep_infection,then,"Just me and Don Well we 'd usually watch Will and Grace but the series is over, on Living So it was double bill last week so we had it on nine to ten and then the Teachers and 2 sylls Oh well What happened",a video couple of bottles of wine and an oul chat 2 sylls So I didn't come back here now until it was after six before I got sitting down and having a spliff And well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being
P1A-095_Strep_infection,then,"Just me and Don Well we 'd usually watch Will and Grace but the series is over, on Living So it was double bill last week so we had it on nine to ten and then the Teachers and 2 sylls Oh well What happened",a video couple of bottles of wine and an oul chat 2 sylls So I didn't come back here now until it was after six before I got sitting down and having a spliff And well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being
P1A-095_Strep_infection,then,Jennifer told Mummy and Emma,they 'd found out independently that the husband 'd another woman
P1A-095_Strep_infection,then,Yeah it 's so she 's just you know like profile job and people,in her staff talking about oh he 's ran away with another woman and
P1A-095_Strep_infection,then,She 's only,staying for one night and going back to going down to Armagh cos her friend 's getting married
P1A-095_Strep_infection,then,who that,is
P1A-095_Strep_infection,until,2 sylls So I didn't come back here now,it was after six before I got sitting down and having a spliff
P1A-095_Strep_infection,before,it was after six,I got sitting down and having a spliff
P1A-095_Strep_infection,and,"then the Teachers and then a video couple of bottles of wine and an oul chat 2 sylls So I didn't come back here now until it was after six before I got sitting down and having a spliff And well I was getting up cos Mummy was on the phone so She was saying about uh Jamie and her being, 2 sylls Oh well","but the series is over, on Living So it was double bill last week so we had it on nine to ten"
P1A-095_Strep_infection,and,Jennifer told Mummy and Emma then,they 'd found out independently that the husband 'd another woman
P1A-095_Strep_infection,and,"She says he 's, he 's sweating It 's just she 's helping him do things Not even strong enough to bloody change his T-shirt And he 's sweating And he 's really really bad",he just can't move like
P1A-095_Strep_infection,and,"She says he 's, he 's sweating It 's just she 's helping him do things Not even strong enough to bloody change his T-shirt And he 's sweating And he 's really really bad",he just can't move like
P1A-095_Strep_infection,and,"She says he 's, he 's sweating It 's just she 's helping him do things Not even strong enough to bloody change his T-shirt And he 's sweating And he 's really really bad",he just can't move like
P1A-095_Strep_infection,and,Exactly you you know run down and stressed and that 's when you get things like that,2 sylls coming uh a long day at Slane
P1A-095_Strep_infection,and,Yeah it 's so she 's just you know like profile job and then people in her staff talking about oh he 's ran away with another woman and,Exactly I 'm Mummy 's going oh who would have I think she 's told them all like you know
P1A-095_Strep_infection,and,"Yeah, several sylls tell Don",he 's like what
P1A-095_Strep_infection,and,"Yeah, several sylls tell Don",he 's like what
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,Bastard,she 's staying with me Her and Andrew
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,and,uhm,it must be linked to putting their mortgage through so
P1A-095_Strep_infection,if,But it wouldn't matter,she did In Lurgan everybody knows everybody
P1A-095_Strep_infection,if,been better,he had 've just buggered off back to Belfast
P1A-095_Strep_infection,if,Aye but even,it 's not gossiping people
P1A-095_Strep_infection,if,Fucking hell he could 've had them long ago,he really wanted children
P1A-095_Strep_infection,if,Fucking hell he could 've had them long ago,he really wanted children
P1A-095_Strep_infection,if,Fucking hell he could 've had them long ago,he really wanted children
P1A-095_Strep_infection,when,they told me,"I was over the last time and, oh"
P1A-095_Strep_infection,when,Anthony and Very cool I 'll get them developed somewhere good this time,youse didn't know they were being taken you know Trying to get some good candid shots
P1A-095_Strep_infection,when,to clean it,I moved in We had to
P1A-095_Strep_infection,instead,So I don't know I 've no idea I 'll tell you tomorrow I 've no idea,Well why don't you get Friday off
P1A-095_Strep_infection,once,It 's not so much that the,the negatives are exposed that 's it
P1A-095_Strep_infection,while,Yeah exactly Must get some pills actually,"I, think of them Did you get that computer sorted thon time"
P1A-095_Strep_infection,because,Well they 're not that bad,I think I cleaned them this time last year And took the whole fucking kitchen apart
P1A-096_Sisters_1,and,it I just started on them I didn't eat many at all over the Christmas you know We bought a box and we were out and,I just kind of am lashing into them
P1A-096_Sisters_1,and,it I just started on them I didn't eat many at all over the Christmas you know We bought a box and we were out and,I just kind of am lashing into them
P1A-096_Sisters_1,and,it I just started on them I didn't eat many at all over the Christmas you know We bought a box and we were out and,I just kind of am lashing into them
P1A-096_Sisters_1,and,it I just started on them I didn't eat many at all over the Christmas you know We bought a box and we were out and,I just kind of am lashing into them
P1A-096_Sisters_1,and,it I just started on them I didn't eat many at all over the Christmas you know We bought a box and we were out and,I just kind of am lashing into them
P1A-096_Sisters_1,and,he stayed nights,there was no problem 5 sylls don't know That 's true yeah yeah
P1A-096_Sisters_1,and,he stayed nights,there was no problem 5 sylls don't know That 's true yeah yeah
P1A-096_Sisters_1,and,"Uh she went out with the Limerick fella yeah but he, she said he 's kind of if she goes to the toilet he follows her to the toilet He 's real seems to be really clingy you know And he was to ring her today so she was here and he rang today","she knew he would want her to go out with him tonight so she said no, that she was going to go just go up and stay with Mike"
P1A-096_Sisters_1,and,"Uh she went out with the Limerick fella yeah but he, she said he 's kind of if she goes to the toilet he follows her to the toilet He 's real seems to be really clingy you know And he was to ring her today so she was here and he rang today","she knew he would want her to go out with him tonight so she said no, that she was going to go just go up and stay with Mike"
P1A-096_Sisters_1,and,"Uh she went out with the Limerick fella yeah but he, she said he 's kind of if she goes to the toilet he follows her to the toilet He 's real seems to be really clingy you know And he was to ring her today so she was here and he rang today","she knew he would want her to go out with him tonight so she said no, that she was going to go just go up and stay with Mike"
P1A-096_Sisters_1,and,"But she had meanwhile this plan to go out with this other fella that she 's friends with, who lives around here that it 's not a romance but she hangs around with him","uhm there was a a, what do you call it a coach going to somewhere in County Louth for some"
P1A-096_Sisters_1,and,Hmm,"So that night Danny was going up to stay in John 's and as he was getting out of the car I said I heard about that incident with the with the dope I said don't you take anything off him And his face got really red So I thought oh God So yesterday when he he came back he said what were you saying to me about John So I said I heard about that thing And his face was really red And I said did you take any and he said yes And I said where did you get it Oh a fella bought it A fella bought it I said, was the fella you Yes"
P1A-096_Sisters_1,and,fella rang,she called it off
P1A-096_Sisters_1,and,fella rang,she called it off
P1A-096_Sisters_1,and,Yeah,"So anyway I said it to Jennie and I said do you think that Mike knows he took it and bought it And she said oh he probably does I said do you think he 'd mind And she said no But, anyway I decided that I 'd"
P1A-096_Sisters_1,and,"She met him through this friend of hers, this girl Petra, who 's herself And this fella is over with some other Germans",her husband run a foundry You know they 're in the art world
P1A-096_Sisters_1,and,"Alison has nobody on the scene you know She 's kind of, she came up here this morning with with Con, because Jennie wanted, was with your man And Jennie asked her to take her out for a walk so Allie looked not too hot I thought She was very kind of, puffy",her skin is not so great at the moment
P1A-096_Sisters_1,and,"Alison has nobody on the scene you know She 's kind of, she came up here this morning with with Con, because Jennie wanted, was with your man And Jennie asked her to take her out for a walk so Allie looked not too hot I thought She was very kind of, puffy",her skin is not so great at the moment
P1A-096_Sisters_1,and,And they were out somewhere,"they, he ate it John ate it"
P1A-096_Sisters_1,and,And they were out somewhere,"they, he ate it John ate it"
P1A-096_Sisters_1,and,Right You can eat it apparently or smoke it And got into such a state that Danny went out to the phone box and rang Eugene and said I think John is getting the flu You 'd better come and get him,Hmm Yeah spilling the beans yeah Hmm where were they
P1A-096_Sisters_1,and,that night Danny was going up to stay in John 's,as he was getting out of the car
P1A-096_Sisters_1,and,that night Danny was going up to stay in John 's,as he was getting out of the car
P1A-096_Sisters_1,and,that night Danny was going up to stay in John 's,as he was getting out of the car
P1A-096_Sisters_1,and,that night Danny was going up to stay in John 's,as he was getting out of the car
P1A-096_Sisters_1,and,that night Danny was going up to stay in John 's,as he was getting out of the car
P1A-096_Sisters_1,and,that night Danny was going up to stay in John 's,as he was getting out of the car
P1A-096_Sisters_1,and,that night Danny was going up to stay in John 's,as he was getting out of the car
P1A-096_Sisters_1,and,"A fella, he said, some fella got it But he had gone up to this school in Knocknacarra where if you hang around outside, you 'll get you 'll buy it Now that I look on as very serious I mean getting a bit off someone is one thing but going out",the fella turned out to be him
P1A-096_Sisters_1,and,Now he had the twenty pounds from you,he had twenty pounds from Mike so he was whizzing around with all this dosh
P1A-096_Sisters_1,and,So I was really annoyed about this And I gave out stink to him and said he was not to do that again And he was saying but it 's not as bad as drink and when will you let me And,what did he do Smoke it
P1A-096_Sisters_1,and,So I was really annoyed about this And I gave out stink to him and said he was not to do that again And he was saying but it 's not as bad as drink and when will you let me And,what did he do Smoke it
P1A-096_Sisters_1,and,So I was really annoyed about this And I gave out stink to him and said he was not to do that again And he was saying but it 's not as bad as drink and when will you let me And,what did he do Smoke it
P1A-096_Sisters_1,and,Yeah,"So anyway I said it to Jennie and I said do you think that Mike knows he took it and bought it And she said oh he probably does I said do you think he 'd mind And she said no But, anyway I decided that I 'd"
P1A-096_Sisters_1,and,So,"Alison has nobody on the scene you know She 's kind of, she came up here this morning with with Con, because Jennie wanted, was with your man Jennie asked her to take her out for a walk so Allie looked not too hot I thought She was very kind of, puffy and, her skin is not so great at the moment"
P1A-096_Sisters_1,and,So,"Alison has nobody on the scene you know She 's kind of, she came up here this morning with with Con, because Jennie wanted, was with your man Jennie asked her to take her out for a walk so Allie looked not too hot I thought She was very kind of, puffy and, her skin is not so great at the moment"
P1A-096_Sisters_1,and,So,"Alison has nobody on the scene you know She 's kind of, she came up here this morning with with Con, because Jennie wanted, was with your man Jennie asked her to take her out for a walk so Allie looked not too hot I thought She was very kind of, puffy and, her skin is not so great at the moment"
P1A-096_Sisters_1,and,So,"Alison has nobody on the scene you know She 's kind of, she came up here this morning with with Con, because Jennie wanted, was with your man Jennie asked her to take her out for a walk so Allie looked not too hot I thought She was very kind of, puffy and, her skin is not so great at the moment"
P1A-096_Sisters_1,and,I sort of said that to to Ben know I feel he looks on me as old granny,I said I 'm not even going to bother ringing him because I you
P1A-096_Sisters_1,but,I did I rang her last night,she had already made an arrangement the girl next door who who was to be babysitting for someone else I think cancelled it And
P1A-096_Sisters_1,but,she was fine,it
P1A-096_Sisters_1,but,He probably would,I 'm not in the humour for any aggravation you know
P1A-096_Sisters_1,but,she was fine,it
P1A-096_Sisters_1,but,"And, she knew he would want her to go out with him tonight so she said no, that she was going to go just go up and stay with Mike","she had meanwhile this plan to go out with this other fella that she 's friends with, who lives around here that it 's not a romance but she hangs around with him"
P1A-096_Sisters_1,but,"And, she knew he would want her to go out with him tonight so she said no, that she was going to go just go up and stay with Mike","she had meanwhile this plan to go out with this other fella that she 's friends with, who lives around here that it 's not a romance but she hangs around with him"
P1A-096_Sisters_1,but,Yeah yeah Mm Yeah Mm Right yeah,"having cancelled the first fella she couldn't contact the second fella and I was smirking to myself thinking, ha fall between two stools dearie yeah But eventually she tracked him down anyway so she 's off to County Louth for the night Hmm yeah"
P1A-096_Sisters_1,but,Yeah yeah Mm Yeah Mm Right yeah,"having cancelled the first fella she couldn't contact the second fella and I was smirking to myself thinking, ha fall between two stools dearie yeah But eventually she tracked him down anyway so she 's off to County Louth for the night Hmm yeah"
P1A-096_Sisters_1,but,she was fine,it
P1A-096_Sisters_1,but,"She said, she doesn't, he doesn't make her feel sick",if he keeps this up he will
P1A-096_Sisters_1,but,There there 's two foundries apparently in Dublin that you know cast stuff for that But this fella 's a goldsmith anyway,"Eugene yes Oh right Yeah yeah Hmm she seems to be throwing herself, head over heels into this, so I don't know what, to make of it you know"
P1A-096_Sisters_1,but,But he 's only over here on a holiday,"He 's only over til Wednesday yeah He 's thirty-five Sure he could be married or anything you know she says no he isn't But anyway the others said he 's kind of, has long limbs and sort of keeps smiling cos he hasn't much to say cos he hasn't much English"
P1A-096_Sisters_1,but,she was fine,it
P1A-096_Sisters_1,but,A fella,"A fella, he said, some fella got it and the fella turned out to be him he had gone up to this school in Knocknacarra where if you hang around outside, you 'll get you 'll buy it Now that I look on as very serious I mean getting a bit off someone is one thing but going out"
P1A-096_Sisters_1,but,she was fine,it
P1A-096_Sisters_1,but,she was fine,it
P1A-096_Sisters_1,so,he would want her to go out with him tonight that she was going to go just go up and stay with Mike,she said no
P1A-096_Sisters_1,so,Hmm,"So that night Danny was going up to stay in John 's and as he was getting out of the car I said I heard about that incident with the with the dope I said don't you take anything off him And his face got really red So I thought oh God yesterday when he he came back he said what were you saying to me about John So I said I heard about that thing And his face was really red And I said did you take any and he said yes And I said where did you get it Oh a fella bought it A fella bought it And I said, was the fella you Yes"
P1A-096_Sisters_1,so,"But having cancelled the first fella she couldn't contact the second fella and I was smirking to myself thinking, ha fall between two stools dearie yeah But eventually she tracked him down anyway so she 's off to County Louth for the night Hmm yeah","she, oh yeah she when she Limerick fella rang and she called it off and he kind of said well I have no friends here All my friends are in Limerick I 've no-one to go out with So she said oh I 'm sure you 'll find someone but then"
P1A-096_Sisters_1,so,he 's only over here til next Wednesday,I don't know what 'll become of that
P1A-096_Sisters_1,so,Hmm,"So that night Danny was going up to stay in John 's and as he was getting out of the car I said I heard about that incident with the with the dope I said don't you take anything off him And his face got really red So I thought oh God yesterday when he he came back he said what were you saying to me about John So I said I heard about that thing And his face was really red And I said did you take any and he said yes And I said where did you get it Oh a fella bought it A fella bought it And I said, was the fella you Yes"
