filename,Offset-raw,fullSent
P1A-095_Strep_infection,before,so i didn't come back here now until it was after six before i got sitting down and having a spliff
P1A-095_Strep_infection,and,and then the teachers and then a video couple of bottles of wine and
P1A-095_Strep_infection,and,and then we went out for lunch and stuffed ourselves
P1A-095_Strep_infection,and,and then we went out for lunch and stuffed ourselves
P1A-095_Strep_infection,and,and then we went out for lunch and stuffed ourselves
P1A-095_Strep_infection,if,but it wouldn't matter if she did in lurgan
P1A-095_Strep_infection,if,she can't have children if he loved her they could adopt if he really wanted children of his own they 5 sylls
P1A-095_Strep_infection,if,she can't have children if he loved her they could adopt if he really wanted children of his own they 5 sylls
P1A-095_Strep_infection,if,fucking hell if he really wanted children he could 've had them long ago
P1A-095_Strep_infection,when,"and, when youse didn't know they were being taken you know"
P1A-095_Strep_infection,when,had to clean it when i moved in
P1A-095_Strep_infection,while,"exactly must get some pills actually while i, think of them"
P1A-095_Strep_infection,because,well they 're not that bad because i think i cleaned them this time last year and took the whole fucking kitchen apart
P1A-096_Sisters_1,and,and he stayed nights and there was no problem
P1A-096_Sisters_1,and,and he stayed nights and there was no problem
P1A-096_Sisters_1,and,and he kind of said
P1A-096_Sisters_1,and,and he kind of said
P1A-096_Sisters_1,and,right you can eat it apparently or smoke it and got into such a state that danny went out to the phone box and rang eugene and said i think john is getting the flu you 'd better come and get him
P1A-096_Sisters_1,and,and i said did you take any
P1A-096_Sisters_1,and,and i said did you take any
P1A-096_Sisters_1,and,and i said did you take any
P1A-096_Sisters_1,and,and i said did you take any
P1A-096_Sisters_1,and,and i said did you take any
P1A-096_Sisters_1,and,and i said did you take any
P1A-096_Sisters_1,and,and i said did you take any
P1A-096_Sisters_1,but,but she 's in good enough form you know
P1A-096_Sisters_1,so,so i don't know what 'll become of that
P1A-096_Sisters_1,so,so he was whizzing around with all this dosh
P1A-096_Sisters_1,if,"but he had gone up to this school in knocknacarra where if you hang around outside, you 'll get you 'll buy it now"
P1A-096_Sisters_1,when,and she was calling him her christmas angel when i was up
P1A-096_Sisters_1,as,so that night danny was going up to stay in john 's and as he was getting out of the car i said i heard about that incident with the with the dope
P1A-097_Sisters_2,and,"and ben said something and he, and he turned round and said i wasn't speaking to you, in this tone"
P1A-097_Sisters_2,and,"and ben said something and he, and he turned round and said i wasn't speaking to you, in this tone"
P1A-097_Sisters_2,and,"and ben said something and he, and he turned round and said i wasn't speaking to you, in this tone"
P1A-097_Sisters_2,and,so in the end anyway he went into this place and he got it done
P1A-097_Sisters_2,and,so in the end anyway he went into this place and he got it done
P1A-097_Sisters_2,and,so in the end anyway he went into this place and he got it done
P1A-097_Sisters_2,and,and and i certainly would worry about you know
P1A-097_Sisters_2,and,and and i certainly would worry about you know
P1A-097_Sisters_2,so,so i was glad of that
P1A-097_Sisters_2,so,so i was glad of that
P1A-097_Sisters_2,so,so i came out to the bottom of the stairs
P1A-097_Sisters_2,so,so i came out to the bottom of the stairs
P1A-097_Sisters_2,so,so i came out to the bottom of the stairs
P1A-097_Sisters_2,when,i mean it 's too dangerous when you look at the likes of bobby nelson
P1A-097_Sisters_2,when,now when you turn on the water for a bath the radiators have to go off and everyone is fucking freezing
P1A-097_Sisters_2,when,"and i know the day is going to come when i 'm going to say you know, do something or go upstairs or do you know"
P1A-097_Sisters_2,when,i remember actually when i was in the hospital a woman in the next bed having it
P1A-097_Sisters_2,when,but i 'm sure it 'll be good when it 's done
P1A-097_Sisters_2,when,"when it gets to where it doesn't feel, right"
P1A-097_Sisters_2,but,"but this kind of, look now that really makes you just boil, with rage you know"
P1A-097_Sisters_2,if,if it was one you were gay
P1A-097_Sisters_2,if,"sure he 'll only be fifteen in july when he 'll certainly, but just kind of, even if he kind of went off the rails a bit then and got back, before the leaving like there 's after the junior cert"
P1A-097_Sisters_2,if,arthur 's great for kind of saying we 'll go for a walk cos if it was left to me
P1A-097_Sisters_2,because,and that you kind of avoid that because once he realises he can say no and get away with it
P1A-098_Bad_weather,so,so i was in there and uhm
P1A-098_Bad_weather,so,so i should have an extra bit of cash coming in anyway
P1A-098_Bad_weather,when,"so when he talks about working hard all week, it clearly means that you kept him up all night all week"
P1A-098_Bad_weather,if,"well if as me and mary were saying if we go out, it 'll make yourself go somewhere like lavery 's or the empire because, you couldn't be bothered queuing outside a nice bar tonight like"
P1A-098_Bad_weather,if,but uhm if you were in belfast
P1A-098_Bad_weather,if,"so i mean if it 's a case that i am off, say the monday tuesday of that week i 'd want to come up and help you like"
P1A-098_Bad_weather,if,i might be off the the two days at the start of the week if i am off anyway any of those couple of days
P1A-098_Bad_weather,if,"aye and come here if somebody else, comes up and it 's a definite to do it, uh take them"
P1A-098_Bad_weather,because,"well if as me and mary were saying if we go out, it 'll make yourself go somewhere like lavery 's or the empire because, you couldn't be bothered queuing outside a nice bar tonight like"
P1A-098_Bad_weather,because,i mean because i won't know until next week
P1A-098_Bad_weather,though,"it was just too much though it was lovely but, just ate so much like"
P1A-098_Bad_weather,as,i mean i 'd be coming up to seanie anyway seeing as i have to work the weekend
P1A-099_Dresses,and,"well i got it off pauline, and she bought it for herself, and then i bought it off her"
P1A-099_Dresses,and,"well i got it off pauline, and she bought it for herself, and then i bought it off her"
P1A-099_Dresses,and,"well i got it off pauline, and she bought it for herself, and then i bought it off her"
P1A-099_Dresses,if,you can borrow something belonging to me if you want to
P1A-099_Dresses,if,if i wore four inches would it work
P1A-099_Dresses,if,it 's not it 's uhm charles as well and that i think that 's including fintan if we can get him to come
P1A-099_Dresses,if,"i 'd say like if you knew one of the guys who were collecting the tickets, give them the sixty quid, sure they 'd let him in"
P1A-099_Dresses,if,if i 'm going to declan 's as well
P1A-099_Dresses,if,"ah not if you 're going to declan 's as well, which is like only in like ten weeks or something"
P1A-099_Dresses,because,and apparently he 's turned off his phone because people keep ringing him
P1A-099_Dresses,because,well we we don't know what to do because we 're invited to sarah 's as well on the same night
P1A-100_College_plans,and,"and like they wanted as in like, biology and chemistry and maths or something, and she got like the as in biology and chemistry and a b in maths and an a in something else"
P1A-100_College_plans,and,"and like they wanted as in like, biology and chemistry and maths or something, and she got like the as in biology and chemistry and a b in maths and an a in something else"
P1A-100_College_plans,and,and it 's the same clown music only faster and more high-pitched
P1A-100_College_plans,and,it was like a computer-generated version of greensleeves and it was really slow and depressing and horrible
P1A-100_College_plans,and,"and he did that like, and he was just like"
P1A-100_College_plans,and,"and he did that like, and he was just like"
P1A-100_College_plans,then,"but he was only pretending he closed the doors, so then the thing started going again and it was just like, you fucking bastard"
P1A-100_College_plans,so,so i 'll be friends with them
P1A-100_College_plans,so,"so she, they let her in anyway"
P1A-100_College_plans,because,"and you only have to pay rent for the weeks of term which is loads better than getting a flat, because for that you 'd have to pay for the whole year"
P1A-100_College_plans,because,i mean it couldn't have been because of his laziness because you 're just as lazy
P1A-100_College_plans,if,well that 's if i get in at all i mean
P1A-100_College_plans,if,"but, they do sometimes like if you got, like i was talking to some girl at an open day there who, like she was a student there"
P1A-100_College_plans,if,and then if you ask to be put up to the contact lens department they put you on hold again
P1A-100_College_plans,when,"when i was in a lift with my brother, we were in james 's hospital right"
P1A-100_College_plans,when,"i mean wouldn't that be the worst thing you could do when you were stuck in a lift, like drinking something that was going to make you need to pee really soon"
P1A-100_College_plans,although,"but although i 've never had to ring them, so for all i know they could have weird hold music as well"
P1A-100_College_plans,while,and while the lift was going down he opened the doors
P1B-041_Clerical_Habits,and,"my late husband was a great horseman and we used to break, in young horses and show them you know"
P1B-041_Clerical_Habits,and,"my late husband was a great horseman and we used to break, in young horses and show them you know"
P1B-041_Clerical_Habits,and,both the breeding the the foals coming every spring and
P1B-041_Clerical_Habits,and,both the breeding the the foals coming every spring and
P1B-041_Clerical_Habits,and,so that was certainly very unexpected and
P1B-041_Clerical_Habits,and,so that was certainly very unexpected and
P1B-041_Clerical_Habits,and,so that was certainly very unexpected and
P1B-041_Clerical_Habits,and,"i 'd always wanted to, was never able to because of well family commitments and finance and so on or lack of finance i should say, and uhm"
P1B-041_Clerical_Habits,and,"i 'd always wanted to, was never able to because of well family commitments and finance and so on or lack of finance i should say, and uhm"
P1B-041_Clerical_Habits,and,"but i ended up doing theology, and enjoyed it"
P1B-041_Clerical_Habits,and,"if i 'm accepted, well and good"
P1B-041_Clerical_Habits,and,"if i 'm accepted, well and good"
P1B-041_Clerical_Habits,and,"if i 'm accepted, well and good"
P1B-041_Clerical_Habits,and,"if i 'm accepted, well and good"
P1B-041_Clerical_Habits,and,"well uhm i applied then, uh for the interview the weekend the residential interview as we call it, and i was, accepted for that and went on ahead"
P1B-041_Clerical_Habits,and,"well uhm i applied then, uh for the interview the weekend the residential interview as we call it, and i was, accepted for that and went on ahead"
P1B-041_Clerical_Habits,and,"so it 's very promising, for the future i think we 've a big horse show here in bailieborough in july and, quite a number of people roundabout interested in show jumping as such and horses, and very good relations with other you know"
P1B-041_Clerical_Habits,but,"but she 's a bit hot for the dressage a bit excitable, but good for the show jumping"
P1B-041_Clerical_Habits,but,"but she 's a bit hot for the dressage a bit excitable, but good for the show jumping"
P1B-041_Clerical_Habits,but,"so i love showing a horse, and i love dressage, but three-day eventing"
P1B-041_Clerical_Habits,but,"but i 'm not going to worry if i don't win, as long as the horse goes well as long as i enjoy myself for me that 's the main thing"
P1B-041_Clerical_Habits,but,"but, entering the church had never, entered my mind, at that stage"
P1B-041_Clerical_Habits,so,"so i 'm afraid a pony 's worth, it 'd beyond our means"
P1B-041_Clerical_Habits,so,"so i 'm afraid a pony 's worth, it 'd beyond our means"
P1B-041_Clerical_Habits,so,"no, no she doesn't she was racing this mare, before i got her she raced, did a few bumpers and a couple of hurdles, so she 's got accustomed to people and being out and about she 's a six year old little mare"
P1B-041_Clerical_Habits,so,"no, no she doesn't she was racing this mare, before i got her she raced, did a few bumpers and a couple of hurdles, so she 's got accustomed to people and being out and about she 's a six year old little mare"
P1B-041_Clerical_Habits,so,"so i love showing a horse, and i love dressage, but three-day eventing"
P1B-041_Clerical_Habits,so,"so it 's very promising, for the future i think we 've a big horse show here in bailieborough in july and, quite a number of people roundabout interested in show jumping as such and horses, and very good relations with other you know"
P1B-041_Clerical_Habits,when,so i just rode on other people 's when i got the chance
P1B-041_Clerical_Habits,because,you stay in because it 's raining you stay here
P1B-041_Clerical_Habits,because,"so, it made it made more difficult, definitely more difficult because you can't just move around the country with a couple of horses and three or four dogs very easily"
P1B-041_Clerical_Habits,if,"but i 'm not going to worry if i don't win, as long as the horse goes well as long as i enjoy myself for me that 's the main thing"
P1B-041_Clerical_Habits,if,"and you know how if they 're bringing a very large load of turf, they usually increase the the amount they can take by putting great big wooden gates on the top with, steel or iron supports, so those hadn't been properly secured, and unfortunately as his car met the lorry one of these fell on top of his car"
P1B-041_Clerical_Habits,as,"but i 'm not going to worry if i don't win, as long as the horse goes well as long as i enjoy myself for me that 's the main thing"
P1B-041_Clerical_Habits,as,"but i 'm not going to worry if i don't win, as long as the horse goes well as long as i enjoy myself for me that 's the main thing"
P1B-041_Clerical_Habits,as,as you were thinking about the church and what might happen
P1B-041_Clerical_Habits,although,but again although i was doing that for those summers
P1B-042_Sunday_Sequence_1,and,"i don't want to be seen to be censoring people god leaves out for us clear rules for good wholesome living, and i 'm trying to point the church and the people that they will i hope uh in some way or other influence back to the basic principles of good wholesome living, not a a a censorious business at all but rather here 's the right way to live god made us, he redeemed us by his son and here 's the way to live"
P1B-042_Sunday_Sequence_1,and,"i don't want to be seen to be censoring people god leaves out for us clear rules for good wholesome living, and i 'm trying to point the church and the people that they will i hope uh in some way or other influence back to the basic principles of good wholesome living, not a a a censorious business at all but rather here 's the right way to live god made us, he redeemed us by his son and here 's the way to live"
P1B-042_Sunday_Sequence_1,and,"i don't want to be seen to be censoring people god leaves out for us clear rules for good wholesome living, and i 'm trying to point the church and the people that they will i hope uh in some way or other influence back to the basic principles of good wholesome living, not a a a censorious business at all but rather here 's the right way to live god made us, he redeemed us by his son and here 's the way to live"
P1B-042_Sunday_Sequence_1,and,and that we as a church
P1B-042_Sunday_Sequence_1,and,and that we as a church
P1B-042_Sunday_Sequence_1,and,if you 've got a if you 're a mother
P1B-042_Sunday_Sequence_1,and,if you 've got a if you 're a mother
P1B-042_Sunday_Sequence_1,and,if you 've got a if you 're a mother
P1B-042_Sunday_Sequence_1,as,well i think that homosexual has overtones that are uh as you have mentioned that may be unhappy
P1B-042_Sunday_Sequence_1,when,but how can you manage to do that successfully when you 've already criticised your own church in a sense for being more like a social club
P1B-042_Sunday_Sequence_1,because,"and yet you 've got a wonderful sense of humour, but some people might say that uh you know the uh, the principles upon which you are uh basing your theme, of office this year lack humour because it 's back to moral censorship"
P1B-042_Sunday_Sequence_1,because,and that 's just a sad business if they do because it 's not
P1B-042_Sunday_Sequence_1,because,"you can understand the reason for the poor people doing it because they are so poor but in the case of the rich sin 's still sin and there 's still rich, uh going for theft and all the other things"
P1B-042_Sunday_Sequence_1,if,and that 's just a sad business if they do because it 's not
P1B-042_Sunday_Sequence_1,if,"it 's deprived them of good housing, and, they might get the feeling that you are admonishing them without really taking into consideration the real reasons behind perhaps, shoplifting"
P1B-043_Sunday_Sequence_2,when,their story begins in northern ireland as the elect people what does that do when it comes to looking at memory and how memory is used in telling a story
P1B-043_Sunday_Sequence_2,when,"i mean what, uh what kind of primacy do uh the ira the provisional sinn fe/in give to catholic nationalism when they have their vision of a united ireland"
P1B-043_Sunday_Sequence_2,when,the conference would like to challenge methodists throughout northern ireland to rediscover their identity as a community church when i spoke to the reverend david cooper
P1B-043_Sunday_Sequence_2,if,but the two protagonists to the conflict might disagree with you uh seriously
P1B-043_Sunday_Sequence_2,if,"and it is after all the duty of garrison people as they have, by and large been, that they should not win friends and influence people because you 've got to dominate people and if you 're going to dominate them then you don't try to win them over as friends"
P1B-043_Sunday_Sequence_2,because,"i 'm just wondering whether that paradigm is functional today in northern ireland because, in a sense the dominant group i 'm talking about unionists, are no longer dominant in any real sense"
P1B-043_Sunday_Sequence_2,because,"i 'm just wondering whether that paradigm is functional today in northern ireland because, in a sense the dominant group i 'm talking about unionists, are no longer dominant in any real sense"
P1B-043_Sunday_Sequence_2,because,"and it is after all the duty of garrison people as they have, by and large been, that they should not win friends and influence people because you 've got to dominate people and if you 're going to dominate them then you don't try to win them over as friends"
P1B-044_Bishop_Poyntz,when,"so too alienation, not just of the orange green variety, the gap between the haves and the have-nots bishop poyntz when i talked to him this morning didn't draw back from criticism of the protestant professional classes for their indifference when asked to help the disadvantaged"
P1B-044_Bishop_Poyntz,when,"so too alienation, not just of the orange green variety, the gap between the haves and the have-nots bishop poyntz when i talked to him this morning didn't draw back from criticism of the protestant professional classes for their indifference when asked to help the disadvantaged"
P1B-044_Bishop_Poyntz,when,"when when they, they had appalling housing on the shankill road never admitted that they were in appalling housing twenty and twenty-five years ago but suddenly as a result of a whole lot of things happening in the outside world they began to see that their lot was just as bad as other people 's lots and so forth and uhm"
P1B-044_Bishop_Poyntz,when,it 's only when it 's
P1B-044_Bishop_Poyntz,when,god-given god-made it is beautiful but what makes it pornographic is when someone presents it to be nastily suggestive and alluring
P1B-044_Bishop_Poyntz,if,uh the one of the great differences between the falls road and the shankill road is that the falls road is uh has a great community area i think bound together not probably politically but religiously whereas if you go to other areas like the shankill or other areas there 's a a
P1B-044_Bishop_Poyntz,if,"when we talk about grants and disadvantage, if only the other lot knew what side their bread was buttered on they wouldn't be doing this they wouldn't be taking all this money from the state and the crown"
P1B-044_Bishop_Poyntz,if,"now let me ask you uh uh briefly about some other aspects of of your address and, uh the moral crusade if i may so describe it you"
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and it seemed to me that perhaps we weren't getting our act together and that we should look for uhm uh expertise people like maybe solicitors and bankers and trade unionists and community workers and retired civil servants other people like that who might be help help us and help clergy and parishes uh in formulating schemes
P1B-044_Bishop_Poyntz,and,and it seemed to me that perhaps we weren't getting our act together and that we should look for uhm uh expertise people like maybe solicitors and bankers and trade unionists and community workers and retired civil servants other people like that who might be help help us and help clergy and parishes uh in formulating schemes
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,and,and
P1B-044_Bishop_Poyntz,because,in a newspaper would not is it because we are wrapping it up in a sort of classic package that it seems okay
P1B-045_Sam_McAughtry,when,"uh i suppose i would put it about nineteen thirty-four, when electrification began"
P1B-045_Sam_McAughtry,when,"and uh, that was that was the sort of uhm, cooking and baking and lighting that we had up until about nineteen thirty-four thirty-five when electrification came in"
P1B-045_Sam_McAughtry,when,"the whole family huddled around the fire it it helped, uh the spirit of a family a good deal it brought us close together but it caused trouble too"
P1B-045_Sam_McAughtry,when,"the whole family huddled around the fire it it helped, uh the spirit of a family a good deal it brought us close together but it caused trouble too"
P1B-045_Sam_McAughtry,when,"uh would you describe the houses as being on the whole well-cared for uh, when you looked at them when you looked at the street from the outside or when you went inside, would you say the houses were well-kept well-cared for"
P1B-045_Sam_McAughtry,when,"uh would you describe the houses as being on the whole well-cared for uh, when you looked at them when you looked at the street from the outside or when you went inside, would you say the houses were well-kept well-cared for"
P1B-045_Sam_McAughtry,when,"uh would you describe the houses as being on the whole well-cared for uh, when you looked at them when you looked at the street from the outside or when you went inside, would you say the houses were well-kept well-cared for"
P1B-045_Sam_McAughtry,when,uh this ties up with the fact that we were not very well off even by protestant standards
P1B-045_Sam_McAughtry,when,uh this ties up with the fact that we were not very well off even by protestant standards
P1B-045_Sam_McAughtry,if,until then we had gas lighting with mantles everywhere and sometimes no mantle
P1B-045_Sam_McAughtry,and,"and uh, you lit the gas came through these little holes"
P1B-045_Sam_McAughtry,and,"and uh, you lit the gas came through these little holes"
P1B-045_Sam_McAughtry,and,"and uh, you lit the gas came through these little holes"
P1B-045_Sam_McAughtry,and,"and uh, you lit the gas came through these little holes"
P1B-045_Sam_McAughtry,and,"and uh, you lit the gas came through these little holes"
P1B-045_Sam_McAughtry,and,"and uh, you lit the gas came through these little holes"
P1B-045_Sam_McAughtry,and,"and uh, you lit the gas came through these little holes"
P1B-045_Sam_McAughtry,and,"and i 'd find myself furthest away from the fire sitting on the sofa or somewhere and this this is, all sorts of rows and arguments about this"
P1B-045_Sam_McAughtry,and,"and i 'd find myself furthest away from the fire sitting on the sofa or somewhere and this this is, all sorts of rows and arguments about this"
P1B-045_Sam_McAughtry,and,and she would tell us the order we 'd go back to the shop
P1B-045_Sam_McAughtry,and,and she would tell us the order we 'd go back to the shop
P1B-045_Sam_McAughtry,and,and uh there was always what we called a cabinet and became known later as a sideboard
P1B-045_Sam_McAughtry,and,and uh there was always what we called a cabinet and became known later as a sideboard
P1B-045_Sam_McAughtry,and,and uh there was always what we called a cabinet and became known later as a sideboard
P1B-045_Sam_McAughtry,and,and uh there was always what we called a cabinet and became known later as a sideboard
P1B-045_Sam_McAughtry,and,and uh there was always what we called a cabinet and became known later as a sideboard
P1B-045_Sam_McAughtry,because,"the whole family huddled around the fire it it helped, uh the spirit of a family a good deal it brought us close together but it caused trouble too"
P1B-045_Sam_McAughtry,because,and uh and they came around and took them all away from them again because they couldn't keep up their payments
P1B-045_Sam_McAughtry,so,it just had a little square hallway about five feet square
P1B-046_Elections,while,victory has been sweet for the new rainbow ministers while fianna fa/il and the progressive democrats now form the opposition
P1B-046_Elections,if,"i think if you look at the programme that has been negotiated between fine gael democratic left and the labour party, it 's very much the policy approach of democratic left and the labour party"
P1B-046_Elections,if,"if you take the attitude to state enterprise, it 's the old left-wing doctrine that we have to accept"
P1B-046_Elections,if,"uhm if the three party leaders don't make an enormous effort to work together as a team the government will collapse or it won't really exist because, to a large extent you can be doing a lot of very productive work, you can have a lot of progressive legislation, but if the trust is not there from the start, then the government won't survive certainly"
P1B-046_Elections,if,"uhm if the three party leaders don't make an enormous effort to work together as a team the government will collapse or it won't really exist because, to a large extent you can be doing a lot of very productive work, you can have a lot of progressive legislation, but if the trust is not there from the start, then the government won't survive certainly"
P1B-046_Elections,if,and if somebody 's to be removed they should only be removed if they 're not doing the job
P1B-046_Elections,if,and if somebody 's to be removed they should only be removed if they 're not doing the job
P1B-046_Elections,if,and if somebody 's to be removed they should only be removed if they 're not doing the job
P1B-046_Elections,if,"i was very disappointed for example that labour and fianna fa/il didn't support peter sutherland, earlier this year because if they did, he would 've been i think the president of the commission at this stage and that would 've been a very prestigious position, for a small country like ours"
P1B-046_Elections,if,"and therefore i believe that the new government if they 're going to change the commissioner, at this very late stage, have to be sure, that it 's not going to damage the national interest padraig flynn has an extremely important portfolio, and the government would need to be certain, that they could hold that portfolio, if they were going to change the person"
P1B-046_Elections,if,"and therefore i believe that the new government if they 're going to change the commissioner, at this very late stage, have to be sure, that it 's not going to damage the national interest padraig flynn has an extremely important portfolio, and the government would need to be certain, that they could hold that portfolio, if they were going to change the person"
P1B-046_Elections,if,and if we fail uh to do that then i think we 're going to cause further problems
P1B-046_Elections,if,"do you, do you think it 's going to cause big problems for john bruton if the architect of the process is standing behind at him shouting from the sidelines uh"
P1B-046_Elections,if,albert reynolds has the potential to destroy the process if he continues speaking like this
P1B-046_Elections,and,"and he certainly is doing the job and doesn't warrant, uhm being removed from that position"
P1B-046_Elections,and,"and he certainly is doing the job and doesn't warrant, uhm being removed from that position"
P1B-046_Elections,so,"i think prionsias de rossa and john bruton have worked well in opposition, uh so i don't see that as a problem"
P1B-046_Elections,because,i supported the nominee of fine gael in the last occasion because i think it 's important that the opposition has that position until recent years the opposition always had that position
P1B-046_Elections,because,this is a period of uncertainty because we have a new government
P1B-046_Elections,when,albert reynolds himself was very concerned just over a year ago when a very important document was leaked to a journalist
P1B-046_Elections,when,"and we do need a north south dimension to any settlement it makes it more difficult, when fears have been raised by somebody like albert reynolds"
P1B-047_Kevin_Moran,and,"many people feared it was a bit of a foolish mistake he hadn't even played in the league of ireland, but sixteen years on and after massive success kevin moran 's still playing at the highest level and preparing to head for the usa with the irish world cup squad and today kevin moran is our guest in the studio"
P1B-047_Kevin_Moran,because,"the uh, the move to manchester united were you worried that it might be a mistake at the time because you were"
P1B-047_Kevin_Moran,because,"i always remember the skill factor in them was, amazed me you know because i 'd never seen anything like it at that at that age you know what i mean how good they were"
P1B-047_Kevin_Moran,because,it was because when i went over uhm i didn't want anybody to know about it
P1B-047_Kevin_Moran,because,i know because i couldn't catch balls then i had to run around the place you see
P1B-047_Kevin_Moran,when,you know i think when i was about seventeen years of age eighteen
P1B-047_Kevin_Moran,when,well the the thing about it is that when i went over for the trial they wanted me to go over in the initial part for two weeks
P1B-047_Kevin_Moran,when,it was because when i went over uhm i didn't want anybody to know about it
P1B-047_Kevin_Moran,when,"and when you go around ireland, rural ireland still remembers you in many ways as much for the dubs as for your whole long soccer career"
P1B-047_Kevin_Moran,when,not bad now those days uh moran coming into the team when you were all-ireland champions you wouldn't have known a lot about him
P1B-047_Kevin_Moran,so,so i would have been fit more or less all year round whereas most of the other players would have been on their winter break
P1B-047_Kevin_Moran,if,"oh, you 'd be lucky if you 're talking about one, two"
P1B-047_Kevin_Moran,if,i 'd probably have been the least likely one as well if you were watching that particular game
P1B-047_Kevin_Moran,if,if you hadn't 've drop-kicked that ball
P1B-047_Kevin_Moran,if,if he 'd kicked it normally he would he would 've buried it
P1B-047_Kevin_Moran,as,"i think in two all-irelands at that stage, and we were all fairly seasoned footballers and like as soon as he came into the team"
P1B-048_Tim_Pat_Coogan,and,"mickey rooney, the former editor of the independent told me about uhm, this extraordinary episode when uh he was called to the governor 's uh wing in uh crumlin road gaol where he was imprisoned and of course the division the, the civil war was on, the division 'd occurred there too, and he was uhm, brought in by the governor to be told something"
P1B-048_Tim_Pat_Coogan,and,"mickey rooney, the former editor of the independent told me about uhm, this extraordinary episode when uh he was called to the governor 's uh wing in uh crumlin road gaol where he was imprisoned and of course the division the, the civil war was on, the division 'd occurred there too, and he was uhm, brought in by the governor to be told something"
P1B-048_Tim_Pat_Coogan,and,"mickey rooney, the former editor of the independent told me about uhm, this extraordinary episode when uh he was called to the governor 's uh wing in uh crumlin road gaol where he was imprisoned and of course the division the, the civil war was on, the division 'd occurred there too, and he was uhm, brought in by the governor to be told something"
P1B-048_Tim_Pat_Coogan,and,"if you consider the reception, that his work is met and his personality is met with in this ireland, uhm compared to say the treatment of, or the kind of the expected behaviour of people like kavanagh and uh behan and myles"
P1B-048_Tim_Pat_Coogan,when,"and uh she said then paused, but he shouldn't 've been drunk when he said it"
P1B-048_Tim_Pat_Coogan,if,"and uhm, it just it happens to be one of the the model poems if you like"
P1B-048_Tim_Pat_Coogan,though,gerry jeffares whom i hadn't met though i 'd admired him from a distance introduced him to me
