,pdtb_TP,pdtb_FP,pdtb_FN,conll2015_TP,conll2015_FP,conll2015_FN,syntactic_TP,syntactic_FP,syntactic_FN,heuristic_TP,heuristic_FP,heuristic_FN
he,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
however,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
if,78.0,14.0,6.0,57.0,27.0,27.0,62.0,21.0,22.0,83.0,30.0,1.0
if then,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
if;then,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
in fact,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
in other words,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
in particular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
in the end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
in turn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
incidentally,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
indeed,2.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,4.0,4.0,6.0,0.0
insofar,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
insofar as,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
instance,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
instead,3.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0
just,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
later,0.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,5.0,0.0
likewise,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
long,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
meanwhile,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0
next,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
nor,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
now what,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
of,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
on,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
on the other hand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
once,5.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0,5.0,6.0,0.0
or,16.0,4.0,15.0,11.0,8.0,20.0,0.0,0.0,31.0,31.0,123.0,0.0
otherwise,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
overall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
previously,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rather,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,7.0,0.0
right,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
seeing,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
simultaneously,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
since,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0
so,67.0,91.0,31.0,44.0,73.0,54.0,33.0,2.0,65.0,98.0,201.0,0.0
so that,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
soon,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
specifically,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
still,0.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,26.0,0.0
that,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
the,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
then,40.0,43.0,26.0,20.0,39.0,46.0,2.0,1.0,64.0,66.0,48.0,0.0
therefore,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
though,3.0,8.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,4.0,9.0,0.0
unless,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
until,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,8.0,0.0
well,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
when,63.0,20.0,13.0,55.0,15.0,21.0,53.0,7.0,23.0,76.0,27.0,0.0
whereas,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
while,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,4.0,4.0,0.0
yet,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
